AL,13,66,858,266,110,944
AZ,36,50,1800,720,105,1890
AR,36,69,2484,571,83,2062
CA,400,75,30000,9300,84,25200
CO,28,70,1960,902,97,1901
FL,160,86,13760,2477,86,11834
GA,59,49,2891,434,89,2573
HI,9,131,1179,283,143,1686
ID,95,37,3515,1793,80,2812
IL,8,85,680,408,186,1265
IN,8,64,512,189,122,625
IA,28,88,2464,1232,122,3006
KS,16,50,800,328,109,872
KY,5,50,250,40,208,520
LA,35,97,3395,611,72,2444
ME,8,26,208,193,166,345
MI,65,68,4420,2519,96,4243
MN,120,74,8880,1598,79,7015
MS,16,80,1280,346,67,858
MO,15,50,750,180,122,915
MT,130,67,8710,3136,83,7229
NE,40,68,2720,2530,82,2230
NV,12,46,552,442,311,1717
NJ,12,32,384,104,121,465
NM,7,49,343,113,103,353
NY,60,73,4380,2321,138,6044
NC,10,54,540,146,188,1015
ND,370,91,33670,8418,82,27609
OH,15,69,1035,580,142,1470
OR,39,42,1638,557,107,1753
PA,28,56,1568,800,113,1772
SD,220,79,17380,11818,79,13730
TN,7,55,385,92,170,655
TX,84,71,5964,954,87,5189
UT,23,45,1035,331,102,1056
VT,6,91,546,169,112,612
VA,8,37,296,59,222,657
WA,51,55,2805,1935,102,2861
WV,8,51,408,102,130,530
WI,64,83,5312,2922,119,6321
WY,40,56,2240,291,85,1904
,,,,,,
 Sts 5/ 6/,19,43,821,268,274,2246
,,,,,,
US 6/,2413,72.4,174818,62478,91.8,160428
