Alabama,6,45,270,14,357,964
Arizona,24,38,912,109,282,2572
Arkansas,28,50,1400,84,187,2618
California,335,41,13735,3022,206,28294
Colorado,31,48,1488,283,202,3006
Florida,215,49,10535,737,240,25284
Georgia,98,34,3332,200,279,9296
Hawaii,17,103,1751,18,183,3204
Idaho,96,31,2976,655,196,5833
Illinois,11,41,451,108,501,2260
,,,,,,
Indiana,7,46,322,106,375,1208
Iowa,38,49,1862,1005,235,4376
Kansas,5,73,365,95,300,1095
Kentucky,4,41,164,34,542,889
Louisiana,45,83,3735,261,190,7097
Maine,12,32,384,92,268,1029
Michigan,92,44,4048,729,237,9594
Minnesota,119,61,7259,1161,188,13647
Mississippi,20,87,1740,70,205,3567
Missouri,9,45,405,36,258,1045
,,,,,,
Montana,160,92,14720,3680,192,28262
Nebraska,40,59,2360,850,199,4696
New Jersey,13,31,403,165,735,2962
New York,56,48,2688,833,334,8978
North Carolina,10,33,330,63,555,1832
North Dakota,530,72,38160,4579,188,71741
Ohio,14,73,1022,491,361,3689
Oregon,93,35,3255,1009,222,7226
Pennsylvania,19,44,836,309,373,3118
South Carolina,16,48,768,15,304,2335
,,,,,,
South Dakota,255,47,11985,5154,198,23730
Tennessee,7,46,322,84,399,1285
Texas,132,56,7392,1035,206,15228
Utah,26,41,1066,75,209,2228
Vermont,7,48,336,94,366,1230
Virginia,4,40,160,35,683,1093
Washington,77,43,3311,563,211,6986
West Virginia,6,37,222,38,416,924
Wisconsin,51,45,2295,711,276,6334
Wyoming,39,56,2184,175,189,4128
,,,,,,
Other States 5/ 6/,36,39,1399,314,593,8599
,,,,,,
United States 6/ 7/,2803,54.4,152348,29091,216.6,333482
