AL,12,86,1032,103,118,1218
AZ,38,63,2394,1197,108,2586
AR,45,88,3960,871,126,4990
CA,470,50,23500,3525,132,31020
CO,24,60,1440,576,129,1858
FL,220,93,20460,2026,114,23324
GA,50,52,2600,52,113,2938
HI,7,136,952,29,111,1057
ID,100,57,5700,1653,137,7809
IL,9,80,720,130,147,1058
IN,8,62,496,233,119,590
IA,33,70,2310,901,143,3303
KS,17,52,884,407,150,1326
KY,5,54,270,78,163,440
LA,35,124,4340,347,116,5034
ME,11,41,451,266,121,546
MD,3,46,138,21,196,270
MI,72,77,5544,1885,140,7762
MN,117,73,8541,1110,147,12555
MS,18,78,1404,281,123,1727
MO,18,50,900,189,142,1278
MT,134,63,8442,1097,138,11650
NE,43,75,3225,1161,149,4805
NV,9,62,558,61,267,1490
NJ,11,40,440,92,100,440
NM,11,44,484,252,110,532
NY,60,98,5880,2470,125,7350
NC,16,42,672,74,141,948
ND,320,75,24000,8160,146,35040
OH,18,70,1260,504,144,1814
OK,3,53,159,51,163,259
OR,43,49,2107,885,135,2844
PA,29,57,1653,827,134,2215
SC,5,94,470,14,125,588
SD,225,51,11475,2410,142,16295
TN,8,61,488,137,140,683
TX,114,67,7638,985,114,8707
UT,22,59,1298,208,130,1687
VT,7,89,623,274,120,748
VA,8,38,304,79,190,578
WA,50,51,2550,561,127,3239
WV,9,51,459,151,132,606
WI,70,95,6650,2461,134,8911
WY,38,63,2394,383,133,3184
,,,,,,
 Sts 4/ 5/,9,50,453,216,229,1036
,,,,,,
US 5/,2574,66.7,171718,39393,132.7,228338
