AL,11,56,616,209,149,918
AZ,30,64,1920,902,126,2419
AR,28,80,2240,672,95,2128
CA,340,40,13600,3672,104,14144
CO,31,51,1581,838,115,1818
FL,160,71,11360,1363,99,11246
GA,60,58,3480,522,119,4141
HI,10,92,920,285,170,1564
ID,92,41,3772,1848,115,4338
IL,9,63,567,374,249,1412
IN,8,53,424,119,150,636
IA,26,81,2106,1221,131,2759
KS,14,40,560,196,118,661
KY,4,61,244,54,212,517
LA,29,89,2581,413,108,2787
ME,9,26,234,59,132,309
MI,72,64,4608,2350,119,5484
MN,130,68,8840,2564,104,9194
MS,15,92,1380,166,91,1256
MO,14,46,644,148,112,721
MT,135,68,9180,2479,99,9088
NE,45,49,2205,1477,103,2271
NV,10,28,280,67,299,837
NJ,9,57,513,185,196,1005
NM,6,59,354,138,142,503
NY,53,57,3021,1843,138,4169
NC,12,45,540,76,249,1345
ND,420,74,31080,9013,96,29837
OH,14,61,854,376,177,1512
OR,46,43,1978,1088,131,2591
PA,25,42,1050,326,170,1785
SD,255,52,13260,10608,102,13525
TN,7,65,455,114,199,905
TX,105,82,8610,1550,96,8266
UT,28,42,1176,270,113,1329
VT,5,64,320,96,170,544
VA,6,46,276,63,243,671
WA,46,44,2024,648,125,2530
WV,6,48,288,95,209,602
WI,60,84,5040,3024,122,6149
WY,43,80,3440,894,100,3440
,,,,,,
 Sts 7/ 8/,15,48,720,230,266,1915
,,,,,,
US 8/ 9/,2443,60.7,148341,52635,107.7,159763
